id,title,cuisine,difficulty,total_time,variant_type,protein_type,base_recipe,issues
8c65a4e5-722b-47e7-8117-939ad276e951,High Fiber Oat And Orange Coconut Parfait Recipe,indian,easy,20,standard,vegetarian,High Fiber Oat And Orange Coconut Parfait Recipe,veg_tags_with_meat_words
c0f2d8e3-e113-49db-b81c-7d401caadef2,Insalata Caprese Salad Recipe,indian,easy,20,standard,vegetarian,Insalata Caprese Salad Recipe,veg_tags_with_meat_words
0e83867c-7dae-4007-8f41-a61d9cdfcdf7,Kale White Bean Hummus Dip Recipe,indian,easy,20,standard,vegetarian,Kale White Bean Hummus Dip Recipe,veg_tags_with_meat_words
b027bca5-eaee-4430-8b45-261dbda58374,Macaroni With Tahini Sauce Recipe,indian,easy,20,standard,vegetarian,Macaroni With Tahini Sauce Recipe,veg_tags_with_meat_words
a1296767-96a0-4236-ad66-007e8544a76f,Pan Roasted Zucchini & Mushroom Recipe,indian,easy,20,standard,vegetarian,Pan Roasted Zucchini & Mushroom Recipe,veg_tags_with_meat_words
462ddd1f-ed19-459f-8c75-b4ea2ad58c38,Peerkangai Thogayal Recipe (Ridge Gourd Chutney),indian,easy,20,standard,vegetarian,Peerkangai Thogayal Recipe (Ridge Gourd Chutney),veg_tags_with_meat_words
372e18c6-dd16-4c57-ac0f-c444f61a0b44,Pretzel Salad Recipe,indian,easy,20,standard,vegetarian,Pretzel Salad Recipe,veg_tags_with_meat_words
8a48d314-dd1a-48ae-bcbd-5e0115752fa1,Sooji Halwa Breakfast Bowl Recipe,indian,easy,20,standard,vegetarian,Sooji Halwa Breakfast Bowl Recipe,veg_tags_with_meat_words
0ff8847b-1d8e-4bea-bae1-bf13538d2a57,Spicy Hot Chocolate Recipe - Perfect Drink For A Rainy Day or Winters,indian,medium,20,standard,vegetarian,Spicy Hot Chocolate Recipe - Perfect Drink For A Rainy Day or Winters,veg_tags_with_meat_words
b6137032-d096-473e-85a6-df72b09c3936,Sri Lankan Chilli Potatoes Recipe,indian,easy,20,standard,vegetarian,Sri Lankan Chilli Potatoes Recipe,veg_tags_with_meat_words|slow_keyword_but_short_total_time
abf0af73-1a60-44dd-bc5a-3f66abb1927c,Sweet Potato Mash Recipe,indian,easy,20,standard,vegetarian,Sweet Potato Mash Recipe,veg_tags_with_meat_words
c3145aff-d2e8-470a-8d7c-5355c820c8b0,Zoodles Salad Recipe - Zucchini Noodles,indian,easy,20,standard,vegetarian,Zoodles Salad Recipe - Zucchini Noodles,veg_tags_with_meat_words
a8fac311-f6c1-4ede-aa13-347db7982db8,Vietnamese Rice Noodle Salad Recipe,indian,hard,22,standard,vegetarian,Vietnamese Rice Noodle Salad Recipe,veg_tags_with_meat_words
456c5157-9942-45d6-abdc-fcf54e3d6b32,Spinach Stir Fry Recipe With Garlic,indian,easy,24,standard,vegetarian,Spinach Stir Fry Recipe With Garlic,veg_tags_with_meat_words
f01aae46-a4a2-4330-919c-dc2e9151081d,Baingan Sarson Ka Saag Recipe - Brinjal Mustard Saag Recipe,indian,medium,25,standard,vegetarian,Baingan Sarson Ka Saag Recipe - Brinjal Mustard Saag Recipe,veg_tags_with_meat_words
03a05ae4-d3a7-45e1-8b92-47fdf3713498,Barnyard Millet Jaggery Payasam Recipe,indian,easy,25,standard,vegetarian,Barnyard Millet Jaggery Payasam Recipe,veg_tags_with_meat_words
4b702352-1770-41ca-9beb-41723156331e,Cheese Garlic Crack Bread Recipe,indian,easy,25,standard,vegetarian,Cheese Garlic Crack Bread Recipe,veg_tags_with_meat_words
213fc283-a9a6-46a3-bad3-f3691978c69c,Cheesy Chinese Bhel Recipe,indian,hard,25,standard,vegetarian,Cheesy Chinese Bhel Recipe,veg_tags_with_meat_words
1a959d08-c0a5-4c6e-a1a3-aed89da9741c,Goan Tendli Bhaji Recipe,indian,medium,25,standard,vegetarian,Goan Tendli Bhaji Recipe,veg_tags_with_meat_words
2086a856-b6c1-4d60-8c52-f17b2ae9e2e5,Grilled Tangy Lime Salmon Steak Recipe,indian,medium,25,standard,vegetarian,Grilled Tangy Lime Salmon Steak Recipe,veg_tags_with_meat_words
6661f25e-7790-4f45-b8d1-938fe9ae1d6f,Mediterranean Tomato Basil Sandwich Recipe With Sweet Piquanté Pepper,indian,medium,25,standard,vegetarian,Mediterranean Tomato Basil Sandwich Recipe With Sweet Piquanté Pepper,veg_tags_with_meat_words
3953e828-9c71-440b-a119-d9b90feb8767,Methi Kumro Recipe - Bengali Style Fenugreek Leaves and Pumpkin Stir Fry,indian,medium,25,standard,vegetarian,Methi Kumro Recipe - Bengali Fenugreek Leaves and Pumpkin Stir Fry,veg_tags_with_meat_words
a07cd58e-a01c-44e8-b249-fc7f784d0b26,Mini Pita Pizza With Tahini Roasted Vegetables Recipe,indian,easy,25,standard,vegetarian,Mini Pita Pizza With Tahini Roasted Vegetables Recipe,veg_tags_with_meat_words
8d8a7be4-1c5c-4246-9da1-fac9266d6231,Mint Coriander Spice Pulao Recipe,indian,easy,25,standard,vegetarian,Mint Coriander Spice Pulao Recipe,veg_tags_with_meat_words
6e8aee1a-d99f-491b-9f4b-f78b17843fdb,Pavakka Pachadi Recipe - Bitter Gourd Pachadi,indian,medium,25,standard,vegetarian,Pavakka Pachadi Recipe - Bitter Gourd Pachadi,veg_tags_with_meat_words
65fd0782-cf87-4c79-a0ef-4e33a5a88e03,Pineapple Cucumber Salad Recipe With Lemon Dressing,indian,easy,25,standard,vegetarian,Pineapple Cucumber Salad Recipe With Lemon Dressing,veg_tags_with_meat_words
03d2b153-298c-42b7-9203-0b0b8152a9ab,Schezwan Poha Recipe (Fusion Recipe),indian,easy,25,standard,vegetarian,Schezwan Poha Recipe (Fusion Recipe),veg_tags_with_meat_words
a2c66a29-1acd-48ad-bf8c-d29033eae008,Semiya Biryani Recipe,indian,hard,25,standard,vegetarian,Semiya Biryani Recipe,veg_tags_with_meat_words
a8876b9d-e441-4333-b4a8-151146bc4752,Spicy Kiwi Salsa Recipe with Feta Cheese,indian,easy,25,standard,vegetarian,Spicy Kiwi Salsa Recipe with Feta Cheese,veg_tags_with_meat_words
db0af778-c396-42bf-b23c-1b1adb7090d7,Spinach Mushroom Stir Fry Recipe,indian,easy,25,standard,vegetarian,Spinach Mushroom Stir Fry Recipe,veg_tags_with_meat_words
4a6dc2af-96d6-40bd-8cfb-f859636ec20a,Steamed Vegetables With Chilli Lime Butter Recipe,indian,easy,25,standard,vegetarian,Steamed Vegetables With Chilli Lime Butter Recipe,veg_tags_with_meat_words
cdf5a48a-4f48-4ca1-8e0d-7c9f0293aa1f,"Summer Lettuce Salad with Cucumber, Tomato & Feta Recipe",indian,easy,25,standard,vegetarian,"Summer Lettuce Salad with Cucumber, Tomato & Feta Recipe",veg_tags_with_meat_words
13f9d14b-b8c2-4512-b769-8f060882b690,Thai Coconut Garlic Rice Recipe,indian,easy,25,standard,vegetarian,Thai Coconut Garlic Rice Recipe,veg_tags_with_meat_words
69e81bb2-090a-4d66-8eb5-1118da469cc7,Thai Coconut Garlic Rice Recipe - Thai Coconut Garlic Rice Recipe,indian,medium,25,standard,vegetarian,Thai Coconut Garlic Rice Recipe - Thai Coconut Garlic Rice Recipe,veg_tags_with_meat_words
128e3d66-a930-4a25-a622-0febc97b0d1d,Zucchini And Feta Cheese Bruschetta Recipe,indian,easy,25,standard,vegetarian,Zucchini And Feta Cheese Bruschetta Recipe,veg_tags_with_meat_words
a13b804c-8b46-4f4c-a991-8ad7ccbaa617,Baked Vegetable Salad Recipe,indian,medium,30,standard,vegetarian,Baked Vegetable Salad Recipe,veg_tags_with_meat_words
0b298fcc-8625-4c11-9826-78fb52bf76e3,Black Bean Noodles Recipe,indian,easy,30,standard,vegetarian,Black Bean Noodles Recipe,veg_tags_with_meat_words
af5b2c45-bbb3-4e8b-b17c-9ac7aff5d6c3,Curried Couscous Recipe,indian,medium,30,standard,vegetarian,Curried Couscous Recipe,veg_tags_with_meat_words
